NEW OFFICE,EST_ID,NEW TASK ID,NEW ENF TASK,EST_NAME
Kukatpally,APHYD0044428000,30105,70101,CHANDANA BROTHERS TEXTILES - JEWELLERS P LTD
Kukatpally,APHYD0081203000,30201,70101,GSK WATER ENVIRO PRIVATE LIMITED
Kukatpally,APHYD0082497000,30202,70101,CREATIONS OVERSEAS
Kukatpally,APHYD1440682000,30203,70101,R K STEEL UDYOG PRIVATE LIMITED
Kukatpally,APHYD0037230000,30203,70101,"FRICK INDIA LTD.,"
Kukatpally,APHYD0061310000,30202,70101,GRAND SOLITAIR
Kukatpally,APHYD0063463000,30201,70101,MACRO HOSPITALITY SERVICES PVT LIMITED
Kukatpally,APHYD0064962000,30105,70101,TAARAK SHIPPING SERVICES
Kukatpally,APHYD0072268000,30104,70101,GOWRA BITS & BYTES
Kukatpally,APHYD0073652000,30103,70101, TRINITY TRANSFORMERS PVT LTD
Kukatpally,APHYD1515393000,30102,70101,VED ELECTRICALS LLP
Kukatpally,APHYD2126984000,30101,70101,UWIN VWIN DISTRIBUTION PRIVATE LIMITED
Kukatpally,APHYD2333870000,30101,70101,RGM TEXTILE PRIVATE LIMITED
Kukatpally,APHYD2517090000,30102,70101,PATWARI PHARMA PRIVATE LIMITED
Kukatpally,APHYD2858964000,30103,70101,NEXUS CLOTHING LLP
Kukatpally,APHYD3385562000,30104,70101,VIBRANT MOBILITY LLP
Kukatpally,APHYD0009237000,30105,70101,"ST. MARYS HIGH SCHOOL,"
Kukatpally,APHYD000927700B,30201,70101,DECCAN BAHADUR PADMA RAO MUDICAL COLLEGE FOR
Kukatpally,APHYD0031017000,30202,70101,GUJARATHI HIGH SCHOOL
Kukatpally,APHYD0032679000,30203,70101,GITANJALI DEVASHALA
Kukatpally,APHYD0081266000,30203,70101, SRI DATTA LOGISTICS PVT LTD
Kukatpally,APHYD1944119000,30202,70101,SRI GLOBAL TECHNOLOGIES
Kukatpally,APHYD2227000000,30201,70101,COMPLINOVA ASSOCIATES PRIVATE LIMITED
Kukatpally,APHYD000353700A,30105,70101,"MODY MOTORS,"
Kukatpally,APHYD0029942000,30104,70101,WESLEY BOYS DEGREE COLLEGE
Kukatpally,APHYD0037360000,30103,70101,"TEMPEST ADVERTISING PVT, LTD.,"
Kukatpally,APHYD0051045000,30102,70101,SWAMY VIVEKANANDA INSTITUTE OF TECHNOLOGY
Kukatpally,APHYD0081075000,30101,70101,MEDISIGNS TRANSTECH PRIVATE LIMITED
Kukatpally,APHYD0081683000,30101,70101,MAVIN ARCHITECTURAL SOLUTIONS PVT LTD
Kukatpally,APHYD1948785000,30102,70101,SDL SOFT TECH PRIVATE LIMITED
Kukatpally,APHYD0005154000,30103,70101,"AHMED ALI - CO.,PVT.LTD.,"
